Summary for Run #271: S1 = 624; S2 = 662; S3 = 217
Summary for Run #272: S1 = 644; S2 = 660; S3 = 232
Summary for Run #273: S1 = 612; S2 = 640; S3 = 234
Summary for Run #274: S1 = 638; S2 = 650; S3 = 215
Summary for Run #275: S1 = 613; S2 = 676; S3 = 227
Summary for Run #276: S1 = 639; S2 = 663; S3 = 230
Summary for Run #277: S1 = 620; S2 = 674; S3 = 218
Summary for Run #278: S1 = 646; S2 = 650; S3 = 237
Summary for Run #279: S1 = 586; S2 = 679; S3 = 215
Summary for Run #280: S1 = 605; S2 = 669; S3 = 220
Summary for Run #281: S1 = 628; S2 = 627; S3 = 255
Summary for Run #282: S1 = 564; S2 = 719; S3 = 204
Summary for Run #283: S1 = 618; S2 = 656; S3 = 224
Summary for Run #284: S1 = 631; S2 = 651; S3 = 230
Summary for Run #285: S1 = 627; S2 = 695; S3 = 206
Summary for Run #286: S1 = 597; S2 = 700; S3 = 221
Summary for Run #287: S1 = 593; S2 = 689; S3 = 231
Summary for Run #288: S1 = 608; S2 = 663; S3 = 206
Summary for Run #289: S1 = 607; S2 = 663; S3 = 221
Summary for Run #290: S1 = 608; S2 = 664; S3 = 226
Summary for Run #291: S1 = 643; S2 = 660; S3 = 226
Summary for Run #292: S1 = 618; S2 = 643; S3 = 232
Summary for Run #293: S1 = 669; S2 = 658; S3 = 230
Summary for Run #294: S1 = 630; S2 = 661; S3 = 219
Summary for Run #295: S1 = 614; S2 = 652; S3 = 227
Summary for Run #296: S1 = 603; S2 = 673; S3 = 233
Summary for Run #297: S1 = 630; S2 = 667; S3 = 229
Summary for Run #298: S1 = 636; S2 = 702; S3 = 233
Summary for Run #299: S1 = 613; S2 = 664; S3 = 214
Summary for Run #300: S1 = 639; S2 = 681; S3 = 223
Summary for Run #301: S1 = 598; S2 = 673; S3 = 240
Summary for Run #302: S1 = 610; S2 = 681; S3 = 220
Summary for Run #303: S1 = 614; S2 = 654; S3 = 233
Summary for Run #304: S1 = 598; S2 = 665; S3 = 221
Summary for Run #305: S1 = 607; S2 = 668; S3 = 229
Summary for Run #306: S1 = 615; S2 = 688; S3 = 211
Summary for Run #307: S1 = 623; S2 = 651; S3 = 232
Summary for Run #308: S1 = 622; S2 = 667; S3 = 226
Summary for Run #309: S1 = 606; S2 = 659; S3 = 221
Summary for Run #310: S1 = 653; S2 = 671; S3 = 214
Summary for Run #311: S1 = 673; S2 = 652; S3 = 212
Summary for Run #312: S1 = 629; S2 = 630; S3 = 239
Summary for Run #313: S1 = 621; S2 = 639; S3 = 235
Summary for Run #314: S1 = 628; S2 = 644; S3 = 201
Summary for Run #315: S1 = 658; S2 = 655; S3 = 240
Summary for Run #316: S1 = 662; S2 = 629; S3 = 227
Summary for Run #317: S1 = 650; S2 = 659; S3 = 224
Summary for Run #318: S1 = 589; S2 = 669; S3 = 217
Summary for Run #319: S1 = 615; S2 = 648; S3 = 222
Summary for Run #320: S1 = 610; S2 = 657; S3 = 229
Summary for Run #321: S1 = 636; S2 = 647; S3 = 223
Summary for Run #322: S1 = 611; S2 = 655; S3 = 201
Summary for Run #323: S1 = 635; S2 = 672; S3 = 212
Summary for Run #324: S1 = 600; S2 = 653; S3 = 235
Summary for Run #325: S1 = 605; S2 = 657; S3 = 225
Summary for Run #326: S1 = 633; S2 = 681; S3 = 224
Summary for Run #327: S1 = 653; S2 = 647; S3 = 224
Summary for Run #328: S1 = 623; S2 = 641; S3 = 227
Summary for Run #329: S1 = 633; S2 = 684; S3 = 232
Summary for Run #330: S1 = 617; S2 = 676; S3 = 224
Summary for Run #331: S1 = 584; S2 = 712; S3 = 204
Summary for Run #332: S1 = 675; S2 = 651; S3 = 206
Summary for Run #333: S1 = 570; S2 = 663; S3 = 225
Summary for Run #334: S1 = 598; S2 = 683; S3 = 208
Summary for Run #335: S1 = 607; S2 = 708; S3 = 203
Summary for Run #336: S1 = 616; S2 = 655; S3 = 230
Summary for Run #337: S1 = 622; S2 = 672; S3 = 205
Summary for Run #338: S1 = 589; S2 = 694; S3 = 207
Summary for Run #339: S1 = 629; S2 = 665; S3 = 236
Summary for Run #340: S1 = 627; S2 = 682; S3 = 209
Summary for Run #341: S1 = 651; S2 = 646; S3 = 232
Summary for Run #342: S1 = 605; S2 = 680; S3 = 220
Summary for Run #343: S1 = 667; S2 = 665; S3 = 235
Summary for Run #344: S1 = 664; S2 = 630; S3 = 233
Summary for Run #345: S1 = 637; S2 = 698; S3 = 214
Summary for Run #346: S1 = 615; S2 = 655; S3 = 227
Summary for Run #347: S1 = 636; S2 = 673; S3 = 213
Summary for Run #348: S1 = 630; S2 = 677; S3 = 213
Summary for Run #349: S1 = 593; S2 = 664; S3 = 227
Summary for Run #350: S1 = 621; S2 = 655; S3 = 227
Summary for Run #351: S1 = 635; S2 = 676; S3 = 228
Summary for Run #352: S1 = 587; S2 = 674; S3 = 218
Summary for Run #353: S1 = 620; S2 = 640; S3 = 243
Summary for Run #354: S1 = 590; S2 = 678; S3 = 211
Summary for Run #355: S1 = 612; S2 = 693; S3 = 205
Summary for Run #356: S1 = 636; S2 = 683; S3 = 197
Summary for Run #357: S1 = 590; S2 = 696; S3 = 216
Summary for Run #358: S1 = 586; S2 = 685; S3 = 235
Summary for Run #359: S1 = 606; S2 = 655; S3 = 242
Summary for Run #360: S1 = 584; S2 = 671; S3 = 235
Summary for Run #361: S1 = 577; S2 = 667; S3 = 219
Summary for Run #362: S1 = 626; S2 = 644; S3 = 247
Summary for Run #363: S1 = 582; S2 = 673; S3 = 216
Summary for Run #364: S1 = 612; S2 = 673; S3 = 223
Summary for Run #365: S1 = 624; S2 = 722; S3 = 202
Summary for Run #366: S1 = 637; S2 = 696; S3 = 210
Summary for Run #367: S1 = 635; S2 = 647; S3 = 236
Summary for Run #368: S1 = 626; S2 = 637; S3 = 235
Summary for Run #369: S1 = 632; S2 = 686; S3 = 223
Summary for Run #370: S1 = 618; S2 = 655; S3 = 228
Summary for Run #371: S1 = 596; S2 = 662; S3 = 236
Summary for Run #372: S1 = 598; S2 = 675; S3 = 215
Summary for Run #373: S1 = 590; S2 = 656; S3 = 219
Summary for Run #374: S1 = 546; S2 = 675; S3 = 240
Summary for Run #375: S1 = 655; S2 = 667; S3 = 198
Summary for Run #376: S1 = 602; S2 = 680; S3 = 209
Summary for Run #377: S1 = 591; S2 = 678; S3 = 222
Summary for Run #378: S1 = 650; S2 = 659; S3 = 217
Summary for Run #379: S1 = 642; S2 = 683; S3 = 216
Summary for Run #380: S1 = 601; S2 = 676; S3 = 237
Summary for Run #381: S1 = 604; S2 = 652; S3 = 214
Summary for Run #382: S1 = 634; S2 = 654; S3 = 221
Summary for Run #383: S1 = 666; S2 = 641; S3 = 244
Summary for Run #384: S1 = 642; S2 = 674; S3 = 213
Summary for Run #385: S1 = 635; S2 = 664; S3 = 205
Summary for Run #386: S1 = 621; S2 = 654; S3 = 230
Summary for Run #387: S1 = 672; S2 = 648; S3 = 209
Summary for Run #388: S1 = 632; S2 = 685; S3 = 223
Summary for Run #389: S1 = 632; S2 = 668; S3 = 220
Summary for Run #390: S1 = 628; S2 = 655; S3 = 221
Summary for Run #391: S1 = 584; S2 = 738; S3 = 203
Summary for Run #392: S1 = 686; S2 = 646; S3 = 231
Summary for Run #393: S1 = 594; S2 = 677; S3 = 208
Summary for Run #394: S1 = 611; S2 = 672; S3 = 234
Summary for Run #395: S1 = 629; S2 = 662; S3 = 238
Summary for Run #396: S1 = 590; S2 = 685; S3 = 201
Summary for Run #397: S1 = 642; S2 = 658; S3 = 222
Summary for Run #398: S1 = 578; S2 = 679; S3 = 218
Summary for Run #399: S1 = 611; S2 = 689; S3 = 211
Summary for Run #400: S1 = 602; S2 = 666; S3 = 247
Summary for Run #401: S1 = 614; S2 = 666; S3 = 222
Summary for Run #402: S1 = 609; S2 = 656; S3 = 231
Summary for Run #403: S1 = 617; S2 = 661; S3 = 208
Summary for Run #404: S1 = 611; S2 = 656; S3 = 240
Summary for Run #405: S1 = 605; S2 = 686; S3 = 214
Summary for Run #406: S1 = 648; S2 = 669; S3 = 217
Summary for Run #407: S1 = 608; S2 = 670; S3 = 210
Summary for Run #408: S1 = 617; S2 = 682; S3 = 200
Summary for Run #409: S1 = 627; S2 = 679; S3 = 193
Summary for Run #410: S1 = 595; S2 = 675; S3 = 251
Summary for Run #411: S1 = 597; S2 = 678; S3 = 216
Summary for Run #412: S1 = 572; S2 = 715; S3 = 213
Summary for Run #413: S1 = 581; S2 = 697; S3 = 227
Summary for Run #414: S1 = 631; S2 = 658; S3 = 226
Summary for Run #415: S1 = 604; S2 = 670; S3 = 247
Summary for Run #416: S1 = 569; S2 = 665; S3 = 230
Summary for Run #417: S1 = 641; S2 = 661; S3 = 228
Summary for Run #418: S1 = 583; S2 = 683; S3 = 222
Summary for Run #419: S1 = 592; S2 = 681; S3 = 233
Summary for Run #420: S1 = 564; S2 = 659; S3 = 252
Summary for Run #421: S1 = 588; S2 = 682; S3 = 222
Summary for Run #422: S1 = 602; S2 = 670; S3 = 252
Summary for Run #423: S1 = 651; S2 = 660; S3 = 219
Summary for Run #424: S1 = 611; S2 = 667; S3 = 244
Summary for Run #425: S1 = 634; S2 = 693; S3 = 216
Summary for Run #426: S1 = 629; S2 = 684; S3 = 227
Summary for Run #427: S1 = 615; S2 = 630; S3 = 232
Summary for Run #428: S1 = 628; S2 = 673; S3 = 212
Summary for Run #429: S1 = 621; S2 = 691; S3 = 211
Summary for Run #430: S1 = 599; S2 = 696; S3 = 213
Summary for Run #431: S1 = 643; S2 = 672; S3 = 242
Summary for Run #432: S1 = 597; S2 = 659; S3 = 225
Summary for Run #433: S1 = 640; S2 = 635; S3 = 244
Summary for Run #434: S1 = 583; S2 = 707; S3 = 213
